#Plot-x   maize   wheat   barley   oil-pumpkin   rapeseed   triticale
2013-04-11       0.386939      0.426478      0.437544      0.558278      0.412477      0.368806
2013-05-18       0.269430      0.886469      0.806423      0.148540      0.843133      0.906903
2013-06-15       0.566359      0.804668      0.505404      0.315171      0.737747      0.187881
2013-07-02       0.796561      0.479092      0.304606      0.378239      0.446004      0.347323
2013-07-29       0.739612      0.192265      0.189521      0.514529      0.205573      0.334568
2013-08-18       0.562305      0.199794      0.333703      0.486986      0.404198      0.520548
2013-09-14       0.470556      0.248142      0.413586      0.342028      0.581292      0.740270
2013-10-08       0.310769      0.513812      0.541597      0.251546      0.576223      0.586223
2013-10-26       0.399296      0.779830      0.682235      0.797404      0.686735      0.309336
